Date,Open,High,Low,Close,Adj Close,Volume
2024-11-01,100.65,101.62,99.78,100.65,100.65,1333027
2024-11-04,100.65,101.45,99.79,100.5,100.5,1408041
2024-11-05,100.5,102.0,99.92,101.35,101.35,1217623
2024-11-06,101.35,104.05,100.72,103.34,103.34,1116464
2024-11-07,103.34,103.89,102.56,103.06,103.06,1410736
2024-11-08,103.06,103.47,102.41,102.78,102.78,1217267
2024-11-11,102.78,105.38,102.33,104.87,104.87,1123777
2024-11-12,104.87,106.77,104.11,105.91,105.91,905569
2024-11-13,105.91,106.14,105.11,105.31,105.31,1494124
2024-11-14,105.31,106.37,105.03,106.06,106.06,1329802
2024-11-15,106.06,106.31,105.24,105.47,105.47,1158090
2024-11-18,105.47,105.71,104.66,104.88,104.88,945002
2024-11-19,104.88,106.15,104.04,105.22,105.22,1398870
2024-11-20,105.22,106.02,102.03,102.74,102.74,1111791
2024-11-21,102.74,103.33,100.03,100.55,100.55,1102846
2024-11-22,100.55,100.83,99.62,99.87,99.87,924071
2024-11-25,99.87,100.46,98.1,98.63,98.63,1482531
2024-11-26,98.63,99.61,98.11,99.04,99.04,1072312
2024-11-27,99.04,99.38,97.64,97.94,97.94,1157218
2024-11-28,97.94,98.47,95.76,96.23,96.23,1114879
2024-11-29,96.23,98.56,95.78,98.05,98.05,1263714
2024-12-02,98.05,98.73,97.18,97.79,97.79,1326650
2024-12-03,97.79,98.59,97.17,97.9,97.9,1231868
2024-12-04,97.9,98.13,95.98,96.18,96.18,1453020
2024-12-05,96.18,96.66,95.12,95.55,95.55,1317170
2024-12-06,95.55,96.37,94.94,95.7,95.7,957108
2024-12-09,95.7,96.28,93.84,94.35,94.35,1380721
2024-12-10,94.35,95.66,93.6,94.82,94.82,1011195
2024-12-11,94.82,95.51,93.51,94.13,94.13,936668
2024-12-12,94.13,94.44,93.52,93.8,93.8,1185205
2024-12-13,93.8,94.04,92.9,93.12,93.12,1241396
2024-12-16,93.12,96.02,92.52,95.34,95.34,1464037
2024-12-17,95.34,95.56,95.15,95.34,95.34,1030560
2024-12-18,95.34,95.98,93.54,94.11,94.11,1266824
2024-12-19,94.11,96.01,93.3,95.11,95.11,1047979
2024-12-20,95.11,95.74,93.12,93.68,93.68,1049849
2024-12-23,93.68,94.43,93.25,93.95,93.95,951745
2024-12-24,93.95,94.62,91.09,91.68,91.68,1270608
2024-12-25,91.68,92.2,89.72,90.18,90.18,991865
2024-12-26,90.18,91.0,89.66,90.42,90.42,1112890
2024-12-27,90.42,92.16,89.65,91.29,91.29,923624
2024-12-30,91.29,91.98,90.87,91.51,91.51,923321
2024-12-31,91.51,92.4,90.6,91.4,91.4,1303704
2025-01-01,91.4,92.24,90.32,91.07,91.07,1074293
